Código muestra,Pomedio % MO,pH,"Densidad 
aparente g/cm3
","Contenido volumétrico
de agua 
pF 0   (Saturación) cm3/cm3","Contenido volumétrico
de agua 
pF 2.52 (Capacidad de Campo) cm3/cm3","Contenido volumétrico
de agua 
pF 4.2 (Punto de marchitez) cm3/cm3",,,,
YR1 0-10,51.38,6.02,0.227,0.901,0.631,0.305,,,,
YR1 10-20,53.25,5.55,0.272,0.864,0.670,0.265,,,,
YR2 0-10,50.99,5.1,0.173,0.957,0.601,0.181,,,,
YR2 10-20,34.47,5.53,0.298,0.842,0.664,0.245,,,,
YR3 0-10,71.37,5.26,0.190,0.916,0.652,0.258,,,,
YR3 10-20,64.68,5.28,0.238,0.877,0.653,0.342,,,,
YR4 0-10,61.67,5.43,0.252,0.874,0.588,0.319,,,,
YR4 10-20,58.55,5.56,0.293,0.844,0.675,0.326,,,,
YR5 0-10,63.27,5.43,0.233,0.868,0.613,0.318,,,,
YR5 10-20,60.82,5.59,0.278,0.840,0.653,0.319,,,,
