Date,tdr_soil_moisture,smap_soil_moisture,abs_diff,signed_diff
2023-12-18,0.7302130671296295,0.1928948909044265,0.5373181762252031,-0.5373181762252031
2023-12-21,0.7323203914141413,0.196671936661005,0.5356484547531363,-0.5356484547531363
2023-12-20,0.727417824074074,0.1966433562338351,0.5307744678402389,-0.5307744678402389
2023-12-23,0.7262872474747475,0.1958665195852517,0.5304207278894958,-0.5304207278894958
2023-12-27,0.735782196969697,0.2058244552463292,0.5299577417233678,-0.5299577417233678
2023-12-22,0.7217755681818181,0.1964271012693643,0.5253484669124537,-0.5253484669124537
2023-12-19,0.7192124368686869,0.1977340523153543,0.5214783845533326,-0.5214783845533326
2022-10-23,0.7251094771241829,0.2084015943109989,0.516707882813184,-0.516707882813184
2023-12-24,0.7132982954545456,0.1970899328589439,0.5162083625956017,-0.5162083625956017
2023-12-17,0.7023232323232323,0.1874471921473741,0.5148760401758583,-0.5148760401758583
2023-12-28,0.7340031565656566,0.2192449532449245,0.5147582033207321,-0.5147582033207321
2022-10-21,0.7231090856481482,0.2094127889722585,0.5136962966758898,-0.5136962966758898
2022-10-22,0.7219075427158274,0.209057692438364,0.5128498502774633,-0.5128498502774633
2021-10-12,0.7134719328703704,0.2017575148493051,0.5117144180210653,-0.5117144180210653
2022-10-25,0.723809167916828,0.2122452706098556,0.5115638973069725,-0.5115638973069725
2022-10-20,0.7203392143836074,0.2093823291361331,0.5109568852474743,-0.5109568852474743
2022-10-24,0.7193793402777778,0.2093580458313226,0.5100212944464553,-0.5100212944464553
2022-11-17,0.7139878674095607,0.204560151323676,0.5094277160858847,-0.5094277160858847
2021-10-13,0.7104458912037037,0.2011664565652608,0.5092794346384429,-0.5092794346384429
2023-01-11,0.7275744949494949,0.2206578105688094,0.5069166843806855,-0.5069166843806855
