Date,tdr_soil_moisture,smap_soil_moisture,diff_smap_minus_tdr,abs_diff
2023-12-18,0.7302130671296295,0.19289489090442652,-0.5373181762252031,0.5373181762252031
2023-12-21,0.7323203914141413,0.196671936661005,-0.5356484547531363,0.5356484547531363
2023-12-20,0.727417824074074,0.19664335623383516,-0.5307744678402389,0.5307744678402389
2023-12-23,0.7262872474747475,0.19586651958525178,-0.5304207278894957,0.5304207278894957
2023-12-27,0.735782196969697,0.20582445524632925,-0.5299577417233678,0.5299577417233678
2023-12-22,0.7217755681818181,0.19642710126936433,-0.5253484669124537,0.5253484669124537
2023-12-19,0.7192124368686869,0.1977340523153543,-0.5214783845533326,0.5214783845533326
2022-10-23,0.7251094771241829,0.2084015943109989,-0.516707882813184,0.516707882813184
2023-12-24,0.7132982954545456,0.1970899328589439,-0.5162083625956017,0.5162083625956017
2023-12-17,0.7023232323232323,0.18744719214737413,-0.5148760401758582,0.5148760401758582
