Reference,Lat,Lon,bdod_0_10cm,bdod_10_20cm,wv0010_0_10cm,wv0010_10_20cm,wv0033_0_10cm,wv0033_10_20cm,wv1500_0_10cm,wv1500_10_20cm
LR1,-2.80678,-79.15991,103.0,107.5,433.0,413.0,327.0,323.5,172.0,169.0
LR2,-2.81583,-79.1561,99.5,104.5,430.0,411.0,346.0,342.5,159.0,156.5
LR3,-2.834869,-79.138083,100.5,105.0,431.5,421.5,359.0,358.0,189.5,189.5
LR4,-2.83244,-79.142684,101.0,106.0,430.0,415.5,363.0,359.0,174.0,172.5
LB1,-2.80671,-79.16022,103.0,107.0,435.0,413.0,325.0,322.5,163.5,162.5
LB2,-2.8094,-79.16162,102.5,105.0,431.5,410.5,322.5,319.0,158.0,156.5
LB3,-2.81504,-79.15846,100.5,104.5,433.0,412.5,337.0,333.5,162.0,160.0
LB4,-2.81688,-79.15447,102.0,104.5,430.0,408.0,332.5,330.5,153.5,151.5
LB5,-2.81943,-79.15286,101.0,103.5,430.5,408.5,342.0,342.5,163.0,161.5
YL1,-2.94405,-79.19796,103.0,108.0,429.5,417.5,377.0,374.0,170.0,166.5
YL2,-2.94465,-79.20012,104.5,109.5,432.0,417.0,382.5,376.5,166.5,163.5
YL3,-2.94152,-79.19993,105.0,109.5,426.0,414.5,382.0,381.5,173.0,171.0
YL4,-2.94078,-79.2006,106.0,110.5,434.0,422.5,381.5,379.5,174.0,172.0
YL5,-2.94133,-79.19762,99.0,103.0,424.0,412.5,387.5,385.5,175.5,172.0
YH1,-2.94318,-79.2068,106.0,110.0,420.5,408.0,365.5,362.5,168.5,163.5
YH2,-2.94395,-79.20752,105.0,109.5,411.0,396.5,362.0,358.5,,168.5
YH3,-2.94224,-79.20681,106.0,110.0,420.5,408.0,365.5,362.5,168.5,163.5
YH4,-2.94117,-79.20705,105.0,109.5,427.5,413.5,373.5,371.0,173.5,171.0
YH5,-2.94126,-79.20765,104.5,109.0,413.0,401.5,363.0,360.5,174.0,172.0
YR1,-2.96968,-79.198,105.5,111.0,406.0,396.0,336.5,337.0,165.5,162.5
YR2,-2.9685,-79.19846,104.0,109.0,404.5,394.0,337.0,339.0,165.0,161.5
YR3,-2.97016,-79.1984,105.5,111.0,406.0,396.0,336.5,337.0,165.5,162.5
YR4,-2.97061,-79.19613,105.0,111.0,404.0,391.5,336.0,338.5,165.0,162.0
YR5,-2.97085,-79.19513,105.0,111.0,404.0,391.5,336.0,338.5,165.0,162.0
